date,KOSPI_rebased,EEM_rebased,foreign_netbuy,kospi_ret,eem_ret,korea_alpha,dxy_chg,fed_net_liquidity
2025-12-25,,,,,,,,5739308.0
2025-12-26,132.38658246708977,115.31995675827116,17790.0,,,,,5723772.0
2025-12-29,135.29995023128484,115.025346860589,3337.0,0.02200651840921486,-0.0025547173790545497,0.02456123578826941,0.00020408358647250324,5733560.0
2025-12-30,135.09509941338032,115.4883064239886,-4768.0,-0.001514049469747203,0.004024848227240696,-0.005538897696987899,0.002039952533400058,5731506.0
2025-12-31,,115.13056237567744,,,-0.0030976646847499234,,0.0004071754519257009,5697319.0
2026-01-01,,,,,,,,5697319.0
2026-01-02,138.15529232252413,118.35026687977133,6309.0,,,,,5797645.0
2026-01-05,142.89625746931836,119.65497477175803,21726.0,0.03431620365093524,0.011024122939343517,0.023292080711591723,-0.001524096003552411,5796827.0
2026-01-06,145.0748733887486,120.5388125340978,-6184.0,0.015246137008857907,0.007386552577740124,0.007859584431117783,0.0031546270334603665,5800730.0
2026-01-07,145.8949027803877,119.63393005488167,12548.0,0.005652456366042946,-0.007506980201585689,0.013159436567628635,0.0010143890471059347,5772872.0
2026-01-08,145.9368997808032,119.67601948863437,-979.0,0.0002878579005514137,0.00035181853286414544,-6.396063231273175e-05,0.0025334414189992494,5774371.0
2026-01-09,147.02523725448563,120.24420263641564,-16068.0,0.007457589378129237,0.004747677523108562,0.0027099118550206747,0.002021600602701179,5774174.0
2026-01-12,148.25849020705243,121.92769929358988,-3512.0,0.008388035793012616,0.014000647185167248,-0.005612611392154632,-0.0027236623680737537,5774052.0
2026-01-13,150.43358420136394,121.02281681437374,-2793.0,0.014670957401993645,-0.007421467676817728,0.022092425078811373,0.0027311009649955142,5774177.0
2026-01-14,151.4100496802757,121.5278738808193,-3760.0,0.006491007204911803,0.004173238400327461,0.0023177688045843414,0.0,5799302.0
2026-01-15,153.7967096297181,122.24336197744164,3450.0,0.01576288994344921,0.005887440253616427,0.009875449689832783,0.001916699754571205,5800522.0
2026-01-16,155.18128013838503,121.78039434474876,4350.0,0.009002601629127582,-0.0037872619437471222,0.012789863572874705,0.0007047895191230058,5801303.0
2026-01-19,157.23038313145005,,5532.0,0.013204575907852512,,,,5801303.0
2026-01-20,156.6241737270178,120.6019466847268,1232.0,-0.0038555487327501803,,,,5799019.0
2026-01-21,157.3993259661443,122.60110602575284,4394.0,0.004949122607839085,0.016576509716315968,-0.011627387108476883,0.0012165728641988505,5711975.0
2026-01-22,158.76495634417284,123.52703322184529,-2432.0,0.008676214905280588,0.007552355978729608,0.0011238589265509802,-0.004050238125017036,5713261.0
2026-01-23,159.9683903307346,124.30565546909666,1438.0,0.00757997239613073,0.006303253846087431,0.0012767185500432987,-0.007726739848662456,5714392.0
2026-01-26,158.67070962799627,124.51608649927348,-1588.0,-0.008112107023489967,0.0016928516195238164,-0.009804958643013784,-0.005737679993327416,5713830.0
2026-01-27,163.006794263144,126.97821347299237,8448.0,0.027327568177603068,0.01977356535160002,0.007554002826003048,-0.008450120435778086,5714066.0
